"","struct.summ.site_unique","struct.summ.site_location_name","struct.summ.site_location_visit_id","struct.summ.phenology_comment","struct.summ.upper_1_dominant","struct.summ.upper_2_dominant","struct.summ.upper_3_dominant","struct.summ.mid_1_dominant","struct.summ.mid_2_dominant","struct.summ.mid_3_dominant","struct.summ.ground_1_dominant","struct.summ.ground_2_dominant","struct.summ.ground_3_dominant","struct.summ.description","struct.summ.mass_flowering_event"
"132","SAAEYB0015-58915","SAAEYB0015",58915,"NC","SAA019663","SAA019627","None","SAA019607","SAA019575","SAA019623","SAA019953","SAA019951","None","Upper stratum dominated by Eucalyptus diversifolia (3m) with Eucalyptus oleosa subsp. ampliata low open mallee woodland. Mid stratum of Melaleuca lanceolata (2m) with Templetonia retusa (1m), Pomaderris obcordata and Beyeria lechenaultii (0.8m) shrubland. Ground stratum sparse but dominated by Acrotriche patula with Gahnia lanigera and other other forbs. High cover of moss.",FALSE
"133","QDAMGD0020-53500","QDAMGD0020",53500,"","QDA  003243","","","","","","QDA  003241","","","Acacia cambagei low woodland with ground stratum of Cenchrus ciliaris",FALSE
"134","QDASSD0005-58684","QDASSD0005",58684,"NC","-1","-1","-1","-1","-1","-1","-1","-1","-1","",FALSE
"135","QDASSD0005-56914","QDASSD0005",56914,"Very dry with nothing fruiting or flowering through the site.","QDA  007257","","","","","","QDA  007263","","","Acacia georginae low woodland with a sparse ground stratum of Dissocarpus paradoxus and a scattered mid stratum of Eremophila latrobei subsp. glabra and recruiting Acacia georginae. Some scattered Dicrastylis on sandier sections of the site.",FALSE
"136","SAASTP0003-53721","SAASTP0003",53721,"","","","","","","","SAA 000092","SAA 003514","SAA 000136","Tripogon loliiformis / Aristida contorta low sparse tussock grassland to Sclerolaena divaricata / Sclerolaena intricata low sparse chenopod shrubland with Sida fibulifera.",FALSE
"137","QDASSD0009-58913","QDASSD0009",58913,"High cover Eulalia aurea tussock grassland, green leaves and some recent flowering, cover around 50%, the ground cover dominated by Bergia henshallii, some in recent flower.","QDA023797","QDA023854","QDA023849","QDA023854","QDA023835","QDA023821","QDA023809","QDA023795","QDA023803","Upper stratum dominated by Eucalyptus coolabah, Acacia sp., and Grevillea sp. woodland. Mid stratum of Acacia sp., Eremophila longifolia and Santalum lanceolatum shrubland. Ground stratum dominated by Eulalia aurea, Triodia basedowii and Bergia henshallii tussock grassland
",FALSE
"138","QDASSD0009-58688","QDASSD0009",58688,"NC","-1","-1","-1","-1","-1","-1","-1","-1","-1","",FALSE
"139","QDASSD0009-56918","QDASSD0009",56918,"","QDA  007491","","","","","","QDA  007479","","","Eucalyptus coolabah low woodland with scattered shrubs in the mid stratum and a Eulalia aurea tussock grass understratum with dry annual forbs. ",FALSE
"140","WAAGVD0016-59069","WAAGVD0016",59069,"Grasses have produced and mainly shed seed. Hibiscus have mature seed heads Very little fruit or flowers on other species across the site. New vegetative growth is present on some grasses. ","-1","-1","-1","-1","-1","-1","-1","-1","-1","Upper stratum of Eucalyptus oleosa subsp. oleosa and Eucalyptus platycorys open mallee woodland. Ground stratum of Triodia rigidissima hummock grassland

",FALSE
"141","NSANET0001-58584","NSANET0001",58584,"NC","NST001781","NST001864","NST001858","NST001817","NST001837","NST001743","NST001765","NST001847","NST001852","Eucalyptus andrewsii mid mixed woodland with Eucalyptus youmanii, E. brunnea, E. prava and Leptospermum trinervium. Midstorey dominated by Leptospermum polygalifolium subsp. transmontanum and Acacia torringtonensis. Ground layer dominated by sedges, largely Caustis flexuosa, with interspersed heath-shrubs.",FALSE
"142","SAAMDD0010-58831","SAAMDD0010",58831,"NC","SAD000292","SAD000286","SAD000298","SAD000308","SAD000278","SAD000330","SAD000350","SAD000342","None","Eucalyptus socialis subsp. socialis / Eucalyptus leptophylla mid mallee woodland with a Triodia irritans hummock grass understratum and a sparse mid stratum of Melaleuca lanceolata and Myoporum platycarpum.",FALSE
"143","SAAMDD0010-53700","SAAMDD0010",53700,NA,"BS  720189","BS  720191",NA,"BS  720207","BS  720216",NA,"BS  720200",NA,NA,"Eucalyptus socialis subsp. socialis / Eucalyptus leptophylla mid Mallee woodland with a Triodia irritans hummock grass understratum and a sparse mid stratum of Melaleuca lanceolata and Myoporum platycarpum.",FALSE
"144","SAAMDD0011-58828","SAAMDD0011",58828,"NC","SAD000414","SAD000380","None","SAD000434","SAD000420","SAD000394","SAD000402","SAD000250","SAD000236","Senna artemisioides subsp. coriacea/ Senna artemisioides zygophylla mixed low open shrubland with emergent Myoporum platycarpum and Alectryon oleifolius subsp. canescens. A sparse ground stratum of Atriplex stipitata, Enchylaena tomentosa var. tomentosa with annual forbs dominated by Morea setifolia, Medicago minima and Carrichtera annua.",FALSE
"145","SAAMDD0011-53745","SAAMDD0011",53745,"","","","","BS  720262","BS  720229","BS  720253","BS  720251","BS  720261","BS  720263","Senna artemisioides subsp. coriacea/ Senna forma petiolaris / Myoporum platycarpum mixed low open shrubland with an under-stratum of annual forbs dominated by Carrichtera annua.",FALSE
"146","WAAGSD0004-58981","WAAGSD0004",58981,"The climate response is dry, and the vegetation response is dry. Much less flowering in the samphire at this site compared to nearby samphire sites, and much less water being held under the soil surface. ","None","None","None","WAA026226","WAA026214","None","WAA026238","WAA026234","WAA026218","Upper stratum of Tecticornia indica (25cm) and Tecticornia halocnemoides
 (25cm) samphire shrubland. Ground stratum dominated by Cyperus sp. (1cm), Eragrostis desertorum (25cm), Dactyloctenium radulans and Sporobolus australasicus
tussock grassland",FALSE
"147","SAASTP0015-53715","SAASTP0015",53715,"Annuals dry contributing to leaf litter cover.","","","","","","","SAA 000974","","","Enneapogon polyphyllus low sparse tussock grassland with scattered Maireana georgei and Atriplex species. ",FALSE
"148","SAASTP0020-53732","SAASTP0020",53732,"","","","","","","","SAA 001468","SAA 001380","SAA 001392","Atriplex vesicaria low sparse chenopod shrubland with Gunniopsis quadrifida to Aristida contorta / Eragrostis falcata low open tussock grassland.",FALSE
"149","QDAEIU0007-58902","QDAEIU0007",58902,"In terms of the climate and vegetation response, there has been rain in the past week, and the vegetation response is active growth. The Chrysopogon and Themeda have shed their seeds but are still green.

","QDA028798","QDA028766","QDA028752","QDA028798","QDA028822","QDA028824","QDA028842","QDA028804","QDA028808","Upper stratum dominated by Eucalyptus similis (10m) with Erythrophleum chlorostachys, Eucalyptus crebra (12m) and Corymbia spp. woodland. The mid stratum Eucalyptus spp., Psydrax sp., Erythrophleum chlorostachys and Grevillea parallela shrubland. Ground stratum of Themeda (0.2m), Chrysopogon and other tussock grasses. 


 ",FALSE
"150","QDAEIU0007-53474","QDAEIU0007",53474,"","QDA  005201","QDA  005207","QDA  005201","QDA  005163","","","QDA  005179","","","Eucalyptus similis mid open forest with Erythrophleum chlorostachys, Eucalyptus crebra and Corymbia polycarpa. Mid-stratum is juvenile trees, Grevillea parallela. and Persoonia falcata.  ground stratum is grassy and dominated by Themeda triandra. ",FALSE
"151","SAASTP0024-53737","SAASTP0024",53737,"","","","","SAA 001755","","","","","","Atriplex incrassata low sparse chenopod shrubland. Astrebla sp. present in low cover.",FALSE
"152","SAASTP0029-53741","SAASTP0029",53741,"","","","","","","","SAA 001958","","","Atriplex vesicaria low sparse chenopod shrubland.",FALSE
"153","SASMDD0010-57064","SASMDD0010",57064,"NC","XZY000129","XZY000209","-1","-1","-1","-1","-1","-1","-1","Low Mallee woodland of mixed Eucalypt species. Eucalyptus oleosa subsp. ampliata / Eucalyptus socialis subsp. socialis and Eucalyptus gracilis.",FALSE
"154","SAASTP0025-53734","SAASTP0025",53734,"","","","","SAA 001795","","","SAA 001811","","","Atriplex vesicaria / Atriplex incrassata low sparse chenopod shrubland.",FALSE
"155","SATFLB0005-58656","SATFLB0005",58656,"NC","SAT007229","SAT007115","SAT007207","SAT007195","SAT007109","SAT007429","SAT007097","SAT007219","SAT007237","Eucalyptus flindersii low mallee woodland with emergent Callitris glaucophylla. Diverse mid stratum dominated by Dodonaea viscosa subsp. angustissima with Calytrix tetragona and Ozothamnus scaber. Ground stratum dominated by Goodenia vernicosa with Chrysocephalum semipapposum and Liliaceae sp.
",FALSE
"156","SATFLB0005-53706","SATFLB0005",53706,NA,"SAT 000286","SAT 000288",NA,"SAT 000316","SAT 000284","SAT 000285","SAT 000287","SAT 000293",NA,"Eucalyptus flindersii low Mallee woodland with emergent Callitris glaucophylla. Diverse mid stratum dominated by Dodonaea viscosa subsp. angustissima with Olearia decurrens, Cassinia laevis and Calytrix tetragona. ground stratum dominated by Chrysocephalum semipapposum with Goodenia vernicosa",FALSE
"157","SAAGAW0001-56992","SAAGAW0001",56992,"NC","SAA 004640",NA,NA,"SAA 004632","SAA 004610",NA,"SAA  004616","SAA  004624","SAA  004622","Acacia papyrocarpa low woodland with mid stratum of Senna artemisioides subsp. x coriacea and Exocarpos aphyllus and lower stratum of Cratystylis conocephala and Rhagodia candolleana subsp. candolleana.",FALSE
"158","SATKAN0001-58695","SATKAN0001",58695,"NC","SAT009612","SAT009650","None","SAT009646","SAT009628","SAT009530","SAT009568","SAT009520","SAT009574","Eucalyptus baxteri low open forest with Eucalyptus obliqua. Dense mixed Mid stratum dominated by Pultenaea involucrata with Xanthorrhoea semiplana subsp. semiplana, Acacia paradoxa and Banksia marginata. Ground stratum dominated by Lepidosperma semiteres with Lomandra fibrata and Hibbertia riparia.",FALSE
"159","SATKAN0001-53688","SATKAN0001",53688,"","SAT 000122","SAT 000158","","SAT 000124","SAT 000123","SAT 000126","SAT 000167","SAT 000168","SAT 000125","Eucalyptus baxteri low open forest with Eucalyptus obliqua. Dense mixed Mid stratum dominated by Pultenaea involucrata with Xanthorrhoea semiplana subsp. semiplana and Banksia marginata. Ground stratum dominated by Lepidosperma semiteres with Lomandra fibrata and tussock grasses.",FALSE
"160","SATFLB0016-58651","SATFLB0016",58651,"NC","None","None","None","SAT006229","SAT006219","None","SAT006231","SAT006205","None","Eucalyptus gillii low open mallee woodland with  a shrub layer of Acacia araneosa, Eremophila deserti and some scattered Melaleuca lanceolata. Ground layer very dry and sparse.",FALSE
"161","SATFLB0016-53547","SATFLB0016",53547,"Eucalyptus gillii has young fruit. Myoporum flowering throughout the site. Euphorbia growing. Tussock grasses mostly dry.","SAT  000898",NA,NA,"SAT  000963","SAT  000959",NA,"SAT  000902",NA,NA,"Eucalyptus gillii low Mallee woodland to open Mallee shrubland with scattered Melaleuca lanceolata and Acacia araneosa throughout the site. Ground stratum dominated by Enneapogon cylindricus with some scattered Euphorbia drummondii and Salsola australis.",FALSE
"162","WAGCOO0001-53613","WAGCOO0001",53613,"","","","","","","","","","","Eucalyptus salmonophloia mid woodland. Scattered shrubs in the mid stratum and a sparse ground stratum dominated by Atriplex sp.",FALSE
"163","SATFLB0021-58641","SATFLB0021",58641,"NC","SAT006535","SAT006487","SAT006477","SAT006497","None","None","SAT006503","None","None","Eucalyptus intertexta low open mallee woodland with Callitris glaucophylla and Melaleuca uncinata. A mid stratum of younger Melaleuca uncinata and Callitris glaucophylla.  A dense Triodia sp. (most likely T. irritans)ground stratum 

",FALSE
"164","SATFLB0021-53552","SATFLB0021",53552,NA,"SAT  001642","SAT  001662","SAT  001642","SAT  001732",NA,NA,"SAT  001644",NA,NA,"Eucalyptus intertexta / Eucalyptus flindersii open Mallee woodland with Callitris glaucophylla. A Triodia scariosa ground stratum and a mixed mid stratum dominated by Melaleuca uncinata with Eremophila ( several species) and Senna artemisioides ( 2 subspecies) and younger mallee shrubs.",FALSE
"165","SATFLB0017-58644","SATFLB0017",58644,"NC","None","None","None","SAT006313","SAT006323","SAT006315","SAT006271","SAT006327","None","Acacia aptaneura tall shrubland to low open woodland with some Acacia tetragonophylla and Eremophila freelingii. Sparse ground cover-  Gnephosis sp., Ptilotus sp. and Solanum sp.",FALSE
"166","SATFLB0017-53548","SATFLB0017",53548,"Acacia aneura- some have fruit. Fruit on Sida, solanum and Hibiscus. Abutilon just finished. Flowering in Ptilotus species where they occur.","","","","SAT  001039","SAT  001009","","SAT  001003","","","Acacia aptaneura tall open shrubland with Acacia tetragonophylla with sparse understratum of forbs dominated by Sida fibulifera",FALSE
"167","QDACYP0016-58601","QDACYP0016",58601,"NC","QDA013543","QDA013549","QDA013289","QDA013503","QDA013352","QDA013337","QDA013297","QDA013355","QDA013243","Mixed Corymbia nesophila woodland with Eucalyptus tetrodonta, Melaleuca saligna, Neofabricia myrtifolia, Grevillia glauca and Acacia crassicarpa. Upper story dominated by Corymbia nesophila. Mid canopy of juvenile Acacia, Xanthostemon xerophilus and Neoroepera banksii. Ground story dominated by Schoenus sparteus, Chleistochloa sp., and Heteropogon triticeus.
",FALSE
"168","SATSTP0004-58642","SATSTP0004",58642,"NC","None","None","None","SAA007295","SAA007287","SAA007311","NO_BARCODE_GRASS_34366","SAA007323","SAA007317","Senna artemisioides subsp. petiolaris /  Acacia victoriae subspecies victoriae  / Eremophila maculata subspecies maculata  low shrubland. Some emergent Santalum lanceolatum. A lower mid stratum of mixed chenopods dominated by Rhagodia spinescens with Einadia nutans, Maireana pyramidata and Enchylaena tomentosa var. tomentosa. Minimal grasses and forbs",FALSE
"169","SATSTP0004-53512","SATSTP0004",53512,"","","","","SAT  002160","SAT  002150","SAT  002202","SAT  002220","SAT  002168","SAT  002192","Senna artemisioides subsp. petiolaris / Eremophila maculata subsp. maculata / Acacia victoriae subsp. victoriae low open shrubland with scattered Santalum lanceolatum. A ground stratum of Eragrostis setifolia, Zygophyllum apiculatum and Sida intricata.",FALSE
"170","SATFLB0012-58677","SATFLB0012",58677,"NC","SAT008535","SAT008447","None","SAT008441","SAT008437","SAT008551","SAT008525","SAT008521","SAT008351","Allocasuarina muelleriana subsp. muelleriana low woodland with emergent Eucalyptus fasciculosa, Acacia paradoxa, lower mid-stratum of Hibbertia crinata and Calytrix tetragona and a ground layer of Neurachne alopecuroidea and other grasses and forbs.",FALSE
"171","SATFLB0012-53699","SATFLB0012",53699,"","SAT 000630","","","SAT 000649","SAT 000657","SAT 000646","SAT 000647","SAT 000655","","Allocasuarina muelleriana subsp. muelleriana mid shrubland with emergent Eucalyptus fasciculosa. ground stratum dominated by Gonocarpus elatus and Neurachne alopecuroidea.",FALSE
"172","SATFLB0019-58645","SATFLB0019",58645,"NC","SAT006245","None","None","SAT006387","SAT006383","SAT006431","SAT006401","None","None","Triodia sp. (most likely T. irritans) low open hummock grassland with some emergent Eucalyptus intertexta in the northern edge of the plot and a patch of Hakea leucoptera subsp. leucoptera in the south eastern corner.",FALSE
"173","SATFLB0019-53550","SATFLB0019",53550,"Rhagodia parabolica has fruit throughout the site. Triodia has mostly shed seeds but still green and growing. Solanum ellipticum has flowers throughout the site and Eucalyptus sp. have young fruit.","SAT  001293","","","SAT  001253","","","SAT  001321","","","Triodia irritans low open hummock grassland with emergent Eucalyptus intertexta. Mid stratum of Rhagodia parabolica and Maireana triptera. ",FALSE
"174","SATFLB0009-58659","SATFLB0009",58659,"NC","SAT007729","SAT007747","None","SAT007741","SAT007713","SAT007699","SAT007707","SAT007647","SAT007681","Eucalyptus cladocalyx subsp. petila mid woodland with Allocasuarina verticillata. Mid story dominated by Xanthorrhoea quadrangulata and Cassinia laevis with Dodonaea viscosa. Ground layer dominated by Lomandra densiflora with Cheilanthes austrotenuifolia, Arthropodium sp., Geranium sp. and other forbs
",FALSE
"175","SATFLB0009-53753","SATFLB0009",53753,NA,"SAT 000480",NA,NA,"SAT 000487","SAT 000478","SAT 000508","SAT 000515","SAT 000471",NA,"Eucalyptus cladocalyx mid woodland. A dense mid stratum dominated by Cassinia laevis with Xanthorrhoea quadrangulata and Casuarina pauper. A ground stratum dominated by Wurmbea biglandulosa subsp. flindersii with Cheilanthes sieberi subsp. sieberi",FALSE
"176","WAACOO0010-53441","WAACOO0010",53441,"","","","","WAA  001607","","","WAA  001535","WAA  001534","WAA  001613","Acacia sp. narrow phyllode (B.R. Maslin 7831) tall sparse shrubland Sparse grassland (<0.5m; fringe) of Aristida contorta, Eriachne ovata Isolated trees (10-30m; fringe) of Eucalyptus petraea. Sparse shrubland (>=2m) of Kunzea pulchella (outcrop), and Acacia duriuscula (fringe). ",FALSE
"177","WAACOO0003-53447","WAACOO0003",53447,NA,"WAA  000867",NA,NA,"WAA  000877","WAA  000776","WAA  000786",NA,NA,NA,"Eucalyptus loxophleba subsp. lissophloia mid Mallee woodland/Mallee shrubland (<10m) with Eucalyptus longicornis and isolated Eucalyptus tenera. Diverse dense mid-stratum of shrubs including Thryptomene kochii, Acacia beauverdiana and Phebalium laevigatum",FALSE
"178","WAACOO0004-53449","WAACOO0004",53449,NA,"WAA  001119","WAA  000939","WAA  001119","WAA  000957","WAA  001006","WAA  000943",NA,NA,NA,"Eucalyptus salubris / Eucalyptus moderata / Eucalyptus loxophleba subsp. lissophloia tall open Mallee woodland. Mid-stratum dominated by Melaleuca lateriflora with Acacia sp. narrow phyllode (B.R. Maslin 7831) and Acacia enervia subsp. enervia. ground stratum very sparse.",FALSE
"179","WAACOO0012-53462","WAACOO0012",53462,"","WAA  005101","WAA  005060","WAA  005101","WAA  005076","WAA  005070","WAA  005098","WAA  005094","","","Eucalyptus urna / Eucalyptus yilgarnensis / Eucalyptus salmonophloia mid Woodland (10-30m) with Eucalyptus longicornis, and Eucalyptus salubris. Mid-stratum dominated Senna artemisioides subsp. filifolia, Eremophila ionantha and Senna cardiosperma (1-2m). Sparse ground stratum dominated by Atriplex stipitata and other chenopods",FALSE
"180","WAACOO0026-53454","WAACOO0026",53454,"","WAA  002160","","","WAA  002162","WAA  002158","WAA  002207","WAA  002176","","","Acacia yorkrakinensis subsp. acrita mid open shrubland with Allocasuarina spinosissima and Acacia resinimarginea and Acacia consanguinea (1-2m). Emergent Eucalyptus leptopoda subsp. subluta (<3m). A dense hummock grass understratum dominated by Triodia ? Rigidissima.",FALSE
"181","WAAHAM0002-56941","WAAHAM0002",56941,"Acacia papyrocarpa","","","","WAA  003184","","","WAA  003176","WAA  005594","WAA  003164","Cratystylis conocephala low open shrubland with emergent Acacia papyrocarpa. Ground stratum of Atriplex vesicaria, Austrostipa drummondii and Maireana erioclada.",NA
"182","WAACOO0008-53442","WAACOO0008",53442,NA,"WAA  001343","WAA  001341","WAA  001343","WAA  001395","WAA  001345",NA,"WAA  001360","WAA  001347",NA,"Eucalyptus yilgarnensis / Eucalyptus salubris tall Mallee woodland with Eucalyptus cylindrocarpa, Eucalyptus longicornis, and Eucalyptus salmonophloia (10-30m) . Mid-stratum sparse dominated by Melaleuca pauperiflora subsp. fastigiata with Santalum acuminatum (>2m). Ground stratum dominated by Austrostipa nitida.",FALSE
"183","NSANET0004-58706","NSANET0004",58706,"NC","NSA016371","NSA016309","NSA016351","NSA016321","NSA016309","None","NSA016410","None","None","Upper stratum dominated by Eucalyptus caliginosa and Eucalyptus dalrympleana subsp. heptantha with Acacia filicifolia. Open mid stratum of Bursaria spinosa subsp. spinosa and Acacia filicifolia. Ground stratum dominated by the perennial tussock grass Anthosachne scabra.
",FALSE
"184","SATEYB0002-58662","SATEYB0002",58662,"NC","SAT007985","SAT007987","SAT007989","SAT007955","SAT007965","SAT007949","SAT007933","SAT005244","SAT007943","Eucalyptus socialis subsp. Socialis and Eucalyptus gracilis mid mallee woodland with some Eucalyptus dumosa (6-8m). Shrub layer 0.5-4m dominated by Geijera parviflora with  Myoporum platycarpum, Olearia muelleri and Senna artemisioides subsp. X coriacea.  Ground layer <1m is dominated by Carrichtera annua with  Zygophyllum confluens, Enchylaena tomentosa var. tomentosa, other Chenopods and much bare ground and cryptogam.",FALSE
"185","SATEYB0002-56991","SATEYB0002",56991,"NC","SAT  002962","SAT  002894","SAT  002932","SAT  002902","SAT  002932","SAT  002884","SAT  002914","SAT  002908","SAT  002900","Eucalyptus socialis / Eucalyptus gracilis mid Mallee woodland (6-8m ). Shrub layer 0.5-4m dominated by Geijera, Senna artemisioides, Myoporum and Alectryon. Ground layer <1m is dominated by Olearia, Zygophyllum and grasses and much bare ground and cryptogam.",FALSE
"186","WAANUL0002-56945","WAANUL0002",56945,"","","","","WAA  003863","","","WAA  003815","WAA  003827","WAA  003855","Maireana sedifolia low open chenopod shrubland with a diverse tussock grass and forb understratum dominated by Euphorbia multifaria, Rytidosperma caespitosum and Sida spodochroma.",NA
"187","WAACOO0022-53453","WAACOO0022",53453,"","WAA  001857","WAA  001863","","","","","","","","Eucalyptus clelandii / Eucalyptus celastroides subsp. celastroides mid Woodland (10-30m) with Eucalyptus longissima and Eucalyptus transcontinentalis. Mid stratum is isolated shrubs- Eremophila scoparia, Atriplex nummularia subsp. spathulata, and Acacia merrallii.",FALSE
"188","SATSTP0006-58640","SATSTP0006",58640,"NC","SAT006023","None","None","SAT006011","None","None","SAT006037","None","None","Eucalyptus coolabah low open woodland. A midstratum dominated by Duma sp. ( Most likely D.  Coccoloboides) A very sparse ground stratum dominated by Marsilea sp. ( most likely M.drummondii) with scattered grasses and forbs



",FALSE
"189","SATSTP0006-53514","SATSTP0006",53514,"","SAT  002440","","","SAT  002448","SAT  002440","","SAT  002414","SAT  002412","","Eucalyptus coolabah low open-woodland with mid-stratum of Duma coccoloboides and juvenile Eucalyptus coolabah and sparse mixed ground stratum dominated by Calotis hispidula, Tetragonia moorei with scattered Enchylaena tomentosa and Eragrostis setifolia. ",FALSE
"190","WAAHAM0006-56944","WAAHAM0006",56944,"Eucalyptus brachycalyx","","","","","","","","","","Eucalyptus brachycalyx mid open mallee forest to 6m with emergent Callitris preissii. Mid stratum of Acacia cochlearis and Melaleuca lanceolata and a sparse ground stratum of Austrostipa acrociliata, Carpobrotus virescens and scattered forbs.",NA
"191","WAACOO0023-53448","WAACOO0023",53448,"","","","","","","","","","","Eucalyptus transcontinentalis mid woodland (10-30m) with Eucalyptus salmonophloia and Eucalyptus salubris (with isolated trees of E. clelandii adjacent). Mid stratum is sparse and dominated by Eremophila scoparia, Maireana sedifolia, and Atriplex nummularia subsp. spathulata (>2m), Minimal ground stratum.",FALSE
"192","QDACHC0002-53593","QDACHC0002",53593,"Gidgee have fruited with pods on the ground but finished","QDA 001167","","","QDA 001167","","","","","","Acacia cambagei low open forest with minimal mid and ground stratum.",FALSE
"193","WAACOO0027-53455","WAACOO0027",53455,NA,"WAA  002236","WAA  002242",NA,"WAA  002294","WAA  002261","WAA  002256","WAA  002248","WAA  002309",NA,"Melaleuca calyptroides / Conospermum stoechadis subsp. stoechadis/ 
Melaleuca cordata low shrubland with isolated Eucalyptus ceratocorys, Eucalyptus leptopoda subsp. subluta, Eucalyptus rigidula (<3m)  and a dense understory of Triodia rigidissima.",FALSE
"194","SATFLB0003-58674","SATFLB0003",58674,"NC","SAT005798","SAT005864","SAT008663","SAT005874","SAT005872","SAT005942","SAT005878","SAT005786","SAT005800","Eucalyptus baxteri woodland with scattered Acacia pycnantha, mid-storey of Xanthorrhoea semiplana, Spyridium parvifolium and ground layer of Lepidosperma semiteres, Caesia calliantha and Arthropodium.",FALSE
"195","SATFLB0003-53704","SATFLB0003",53704,"Eucalyptus baxteri  already fruited. No flower heads on Xanthorrhoea semiplana.  Spyridium parvifolium  and Astroloma conostephioides both flowering.","SAT 000085",NA,NA,"SAT 000108","SAT 000097",NA,"SAT 000096","SAT 000109","SAT 000111","Eucalyptus baxteri low open forest. Mid stratum dominated by Xanthorrhoea semiplana subsp. semiplana with Acacia pycnantha. Ground stratum dominated by Lepidosperma semiteres with Spyridium parvifolium and some Lomandra fibrata.",FALSE
"196","QDAGUP0026-53486","QDAGUP0026",53486,"","QDA  006719","QDA  006733","","","","","QDA  006699","QDA  006725","QDA  006771","Ziziphus mauritiana / Hakea arborescens low sparse woodland with scattered Corymbia bella and Cochlospermum gregorii, ground stratum dominated by Chrysopogon elongatus with Heteropogon contortus, Sporobolus virginicus and Bothriochloa pertusa.",FALSE
"197","NTAPCK0003-58923","NTAPCK0003",58923,"NC","NTA027064","NTA027018","NTA027058","NTA027036","NTA026950","NTA026986","NTA026990","NTA027050","NTA027034","Mixed open woodland (8-12m) of Eucalyptus tetrodonta and Eucalyptus miniata with some Erythrophleum chlorostachys and isolated Grey trunk Corymbia. Mid storey (4-5m) is open, composed of Buchanania, Petalostigma and young eucalypts with some of the red axil shrub, Cochlospermum fraseri and the Kakadu plum. The ground storey (<0.5m) is dominated by grasses, including perennial sorghum and setaria with Heteropogon triticeus, Iseilema sp. and open patches of Spermacoce.",FALSE
"198","NTAPCK0003-58931","NTAPCK0003",58931,"NC","NTA028113","NTA028114","NTA028112","NTA028106","NTA028130","-1","NTA028175","NTA028132","NTA028104","Eucalyptus miniata / Eucalyptus tetrodonta mid open woodland with some Erythrophleum chlorostachys and isolated Corymbia porrecta. Also significant cover to the vine Galactia tenuiflora.  Mid storey is open, composed of Cochlospermum fraseri, Planchonia careya and Petalostigma pubescens. The ground storey is dominated by Spermacoce stenophylla, Schizachyrium fragile and Chrysopogon fallax.",FALSE
"199","VCAMDD0001-57011","VCAMDD0001",57011,"NC","None","None","None","None","None","None","VCA007007","VCA007001","VCA007015","Tecticornia pergranulata and Tecticornia halocnemoides low chenopod shrubland 20 to 60cm high with Disphyma crassifolium subsp. clavellatum",FALSE
"200","VCAMDD0003-57012","VCAMDD0003",57012,"NC","VCA007147","VCA007139","VCA007153","VCA007139","VCA007153","VCA007121","VCA007145","None","None","Eucalyptus socialis subsp. socialis, Eucalyptus gracilis and Eucalyptus oleosa low Mallee woodland (4-7m) with mid stratum of juvenile trees and Leptospermum coriaceum (1-3m) and sparse ground stratum of Triodia scariosa. ",TRUE
"201","WAAPIL0020-58032","WAAPIL0020",58032,"NC",NA,"None","None",NA,NA,NA,"WAA010190","None","None","Triodia wiseana loiwopen hummock grassland with isolated emergent Eucalyptus xerothermica, Acacia bivenosa and Senna glutinosa subsp. glutinosa.
 ",FALSE
"202","NSABHC0019-57078","NSABHC0019",57078,"NC","-1","-1","-1","NSA 05281","NSA 05251","-1","NSA 05233","NSA 05255","NSA 05267","Tussock grassland of Enneapogon avenaceus and Aristida contorta. Diverse mix of low Chenopod shrub species, Sclerolaena cuneata, Maireana astrotricha and Maireana integra.",FALSE
"203","NTAFIN0027-53647","NTAFIN0027",53647,"Tussock grasses regenerating after recent rain. Sida and Solanum flowering.","","","","","","","NTA 001463","NTA 001450","NTA 001449","Enneapogon avenaceus low open tussock grassland with Eragrostis eriopoda subsp. red earth and scattered Enneapogon cylindricus and Sida sp. limestone.",FALSE
"204","WAANUL0006-56929","WAANUL0006",56929,"NC",NA,NA,NA,NA,NA,NA,"WAA  005836","WAA  005828","WAA  005816","Zygophyllum sp, Rhodanthe sp., Gnephosis sp, Salsola tragus mixed forbland. 1 or 2 Isolated Atriplex and Maireana sedifolia.",FALSE
"205","WAAPIL0033-58417","WAAPIL0033",58417,"NC","WAA011724",NA,"None","WAA011724","None","None","WAA011796","WAA011730","WAA011742","Acacia incurvaneura mid open shrubland. Emergent Acacia incurvaneura ( mostly dead) as a tree, Eucalyptus xerothermica, Corymbia deserticola subsp. deserticola. Ground strum is a low open tussock grassland dominated by Aristida inaequiglumis with Ptilotus obovatus and Maireana villosa.


",FALSE
"206","NSABHC0022-57086","NSABHC0022",57086,"NC","-1","-1","-1","-1","-1","-1","NSA05907","None","None","Atriplex vesicaria low sparse chenopod shrubland.",FALSE
"207","WAACOO0001-53444","WAACOO0001",53444,NA,"WAA 000672",NA,NA,"WAA  000692","WAA  000710","WAA  000730",NA,NA,NA,"Eucalyptus rigidula low open Mallee woodland . (<10) Dense mid stratum dominated by Allocasuarina spinosissima with Thryptomene kochii, Euryomyrtus maidenii and diverse range of small shrubs.",FALSE
