"","site_unique","site_location_name","established_date","description","bioregion_name","landform_pattern","landform_element","site_slope","site_aspect","comments","outcrop_lithology","other_outcrop_lithology","plot_dimensions","site_location_visit_id","visit_start_date","visit_end_date","visit_notes","location_description","erosion_type","erosion_abundance","erosion_state","microrelief","drainage_type","disturbance","climatic_condition","vegetation_condition","observer_veg","observer_soil","described_by","pit_marker_easting","pit_marker_northing","pit_marker_mga_zones","pit_marker_datum","pit_marker_location_method","soil_observation_type","a_s_c","plot_is_100m_by_100m","plot_is_aligned_to_grid","plot_is_permanently_marked","latitude","longitude","point","state","lon_easting","lat_northing"
"103","NTAGFU0005-53652","NTAGFU0005","2012-04-16T00:00:00","Mittiebah Station. 17km north north east of homestead. 173km North east of Barkley Roadhouse","GFU","LOW","PLA",NA,NA,"Site in low range of hills. Sandplain with rocky sandstone outcrops throughout. Very long unburnt. Drainage line/creek running through western edge.  Scattered ephemeral waterholes with water in creek. Some of taller rocky outcrops to 2 meters. Slope to south western corner to larger rise . Some evidence of grazing with some hoof prints but not heavy. No weeds of note.","NC","NC",NA,53652,"2012-04-16T00:00:00","2012-04-16T00:00:00","","Mittiebah Station. 17km north north east of homestead. 173km North east of Barkley Roadhouse","G","1","NC","Z",4,"0","DRY","FFR",1,2,1,723749,7936220,53,"WGS84","DGPS","P","3RUCYDUARGKKU",TRUE,TRUE,TRUE,-18.6531916666667,137.121141666667,"SW","NT",137.121138888299,-18.6531944422404
"104","NTAGFU0006-53653","NTAGFU0006","2012-04-18T00:00:00","Mittiebah Station. 25km west of Mittiebah homestead. Floodout of Burton Creek.  128km North east of Barkley Roadhouse","GFU","PLA","FLD",NA,NA,"Flood out of Burton Creek.  South East corner is on edge of main channel with the site rising out onto a small flood out  The South west corner rises just out of the flood out on a small rise. The site hasn’t been burnt for 4+ years. No recent rain for past few weeks. Not grazed at present. Minimal weed impact.","NC","NC",NA,53653,"2012-04-18T00:00:00","2012-04-18T00:00:00","","Mittiebah Station. 25km west of Mittiebah homestead. Floodout of Burton Creek.  128km North east of Barkley Roadhouse","NC","NC","NC","A",5,"0","DRY","FFR",1,2,1,694687,7922649,53,"WGS84","DGPS","P","3TEINAOAARBEKL",TRUE,TRUE,TRUE,-18.7786916666667,136.847072222222,"SW","NT",136.847075751257,-18.778692437469
"105","NTAGFU0007-53654","NTAGFU0007","2012-04-19T00:00:00","Mittiebah Station. 27km west of Mittiebah homestead. 130km North east of Barkley Roadhouse","GFU","PLA","PLA",NA,NA,"Northern edge of site is 500m from low rocky sandstone hill . Has been burnt regularly but hasn’t burnt in last two years. Recent fire close by across road has. Grazing impact low due to Triodia. Nearest Water point 3km away- some cattle prints within the site.","NC","NC",NA,53654,"2012-04-19T00:00:00","2012-04-19T00:00:00","","Mittiebah Station. 27km west of Mittiebah homestead. 130km North east of Barkley Roadhouse","NC","NC","NC","A",5,"0","DRY","FFR",1,2,1,692488,7922868,53,"WGS84","DGPS","P","3KAAACDBHKM",TRUE,TRUE,TRUE,-18.7769138888889,136.826202777778,"SW","NT",136.826199495795,-18.7769192000923
"106","NTAGFU0008-53655","NTAGFU0008","2012-04-20T00:00:00","Mittiebah Station. 23km west of Mittiebah homestead. 130km North east of Barkley Roadhouse","GFU","PLA","PLA",NA,NA,"Stony/Gravelly site. Long unburnt. Last rain at least 3 weeks previous. Not real evidence of grazing. Weed impact nil.","NC","NC",NA,53655,"2012-04-20T00:00:00","2012-04-20T00:00:00","","Mittiebah Station. 23km west of Mittiebah homestead. 130km North east of Barkley Roadhouse","C","2","NC","T",4,"0","DRY","DRY",1,2,1,696604,7921811,53,"WGS84","DGPS","P","3TECYDUARAKLU",TRUE,TRUE,TRUE,-18.786075,136.865338888889,"SW","NT",136.865339364326,-18.7860815068961
"107","NTAGFU0009-53656","NTAGFU0009","2012-04-21T00:00:00","Mittiebah Station. 10km west of Mittiebah homestead. 130km North east of Barkley Roadhouse","GFU","FLO","FLD",NA,NA,"Site borders edge of Burton river. Eucalyptus camaldulensis in the river channel but none within the site. Grazing moderate- grasses intact but cattle in site. Long unburnt with little standing litter-5+years. Last rainfall 3 weeks +.   South west boundary of the site close to bore track. Unlikely to have flood out in previous ( drier) wet season","NC","NC",NA,53656,"2012-04-21T00:00:00","2012-04-21T00:00:00",NA,"Mittiebah Station. 10km west of Mittiebah homestead. 130km North east of Barkley Roadhouse","G","1","NC","A",5,"0","DRY","DRY",1,2,1,709035,7920028,53,"WGS84","DGPS","P","3KAABCDAELM",TRUE,TRUE,TRUE,-18.800975,136.983425,"SW","NT",136.983420152661,-18.8009714817426
"108","NTAGFU0010-53657","NTAGFU0010","2012-05-09T00:00:00","Benmara Station. 2.5km West of Nicolson River. 21km East North East of Benmara homestead. 236km North east of Barkley Roadhouse","GFU","LOW","HSL",NA,NA,"Stony/Gravelly site. Homogeneous to 150m. Fire within the last 2-3 years with site having been burnt fairly evenly throughout. Grazing impact moderate with evidence of horses and cattle Last Rainfall- 1 month+. Not signs of stress yet. Minimal impact of introduced plant species.","NC","NC",NA,53657,"2012-05-09T00:00:00","2012-05-09T00:00:00","Stony/Gravelly site. Homogeneous to 150m. Fire within the last 2-3 years with site having been burnt fairly evenly throughout. Grazing impact moderate with evidence of horses and cattle Last Rainfall- 1 month+. Not signs of stress yet.","Benmara Station. 2.5km West of Nicolson River. 21km East North East of Benmara homested. 236km North east of Barkley Roadhouse","NC","0","NC","A",7,"1L","DRY","DRY",1,2,1,722546,8020036,53,"WGS84","DGPS","P","3DEAABJCDAIMOV",TRUE,TRUE,TRUE,-17.8962777777778,137.100602777778,"SW","NT",137.100605800657,-17.8962759464204
"109","NTAGFU0011-53658","NTAGFU0011","2012-05-10T00:00:00","Benmara Station .2.5km West of Nicolson River. 21km East North East of Benmara homestead. 236km North east of Barkley Roadhouse","GFU","LOW","DDE",NA,NA,"Long unburnt site (4-5 years+) with no scorch marks and the shrub layer being intact. There has been a fire to the north of the site but the access road has acted as a break. Last rain was at least 1 month previous.  Weed impact minimal. Homogeneity- to the north the site abuts a track. To the south the vegetation community continues approximately 100m before  grading into a Eucalyptus leucophloia Mallee woodland similar to the previous site ( NTAGFU0010) Grazing impact moderate- horses and cattle around. Most grasses still intact. The paddock is not formally grazed. The site is 500-600m from and ephemeral waterhole in a shallow creek.","NC","NC",NA,53658,"2012-05-10T00:00:00","2012-05-10T00:00:00",NA,"Benmara Station .2.5km West of Nicolson River. 21km East North East of Benmara homested. 236km North east of Barkley Roadhouse.","NC","NC","NC","A",4,"0","DRY","FFR",1,2,1,719554,8020133,53,"WGS84","DGPS","P","3TECYARAFKLU",TRUE,TRUE,TRUE,-17.8957055555556,137.072363888889,"SW","NT",137.072367855061,-17.8957023368946
"110","NTAGFU0012-53659","NTAGFU0012","2012-05-11T00:00:00","Benmara Station. 12km West of Nicolson River. 12km East North East of Benmara homestead. 236km North east of Barkley Roadhouse","GFU","LOW","HSL",NA,NA,"Site is on a plateau west of the high point of a low range of hills. Long unburnt- no scotch marks on trees. Grazing impact low as most of the site is fairly unpalatable. 1month + since last rain. Weed impact- low. Homogeneity- community continues 100m to the south. To the north is a track which has been burnt on the other side.","NC","NC",NA,53659,"2012-05-11T00:00:00","2012-05-11T00:00:00","","Benmara Station. 12km West of Nicolson River. 12km East North East of Benmara homestead. 236km North east of Barkley Roadhouse","NC","NC","NC","A",4,"1L","DRY","FFR",1,2,1,713898,8020202,53,"WGS84","DGPS","P","3KAABYYCDAGKNU",TRUE,TRUE,TRUE,-17.8956416666667,137.018994444444,"SW","NT",137.018998507307,-17.8956398316745
"111","NTAGFU0013-53660","NTAGFU0013","2012-05-12T00:00:00","Benmara Station. 13km West of Nicolson River. 11km East North East of Benmara homestead. 236km North east of Barkley Roadhouse","GFU","LOW","HSL",NA,NA,"Long unburnt 4+ years- some standing litter from previous fire. Grazing impact is low with some cattle scats but no pads through the site. Homogeneity- Site abuts track on northern boundary. The community continues 50m to the south and west. From  the east edge the site grades into a Eucalyptus pruinosa Mallee woodland. Run on area- water likely sits around in wet season. Introduced plant species impact minimal- Stylosanthes hamata low cover. 
","NC","NC",NA,53660,"2012-05-12T00:00:00","2012-05-12T00:00:00","","Benmara Station. 13km West of Nicolson River. 11km East North East of Benmara homested. 236km North east of Barkley Roadhouse","NC","NC","NC","A",4,"1L","DRY","FFR",1,2,1,713116,8020181,53,"WGS84","DGPS","P","3TECYDUARAGKLU",TRUE,TRUE,TRUE,-17.8959083333333,137.011625,"SW","NT",137.011622634136,-17.8959059087551
"112","NTAGFU0014-53661","NTAGFU0014","2012-05-14T00:00:00","Benmara Station. 19km north north east of Benmara homestead. 2km South West of Coanjula creek. 248km North east of Barkley Roadhouse","GFU","FLO","FLD","2","180","On edge of Cumingia creek. Some drainage lines 20cms deep on northern boundary.  South West corner also has shallow drainage line flowing south east.  Grazing impact high. Weed impact low. Long unburnt. Homogeneity- site abuts track to the north. Community continues 100m down to river on southern boundary. To the East and West it continues another 50m.","NC","NC",NA,53661,"2012-05-14T00:00:00","2012-05-14T00:00:00","","Benmara Station. 19km north north east of Benmar homestead. 2km South West of Coanjula creek. 248km North east of Barkley Roadhouse","R","1","NC","NC",3,"1L","DRY","DRY",1,2,1,705574.408,8036214.402,53,"WGS84","DGPS","P","3DEAAYYCDAENO",TRUE,TRUE,TRUE,-17.7517888888889,136.9389,"SW","NT",136.93889967783,-17.7517889444032
"113","NTAGFU0015-53662","NTAGFU0015","2012-05-14T00:00:00","Benmara Station. 19.5km north north east of Benmara homestead. 1.5km South West of Coanjula creek. 248km North east of Barkley Roadhouse","GFU","FLO","PLA","2","135","Edge of Cumingia creek flood out.  Homogeneity- the community is quite discreet to the boundaries of the quadrat.  Grazing impact is moderate. Some of the tussock grasses have been eaten and there are some cattle pads within the site. Long unburnt 4+ years.  No rainfall for at least 1.5 months.  1-2 very shallow erosion channels in cattle pads. Introduced plant species impact minimal- Stylosanthes hamata low cover.
","NC","NC",NA,53662,"2012-05-14T00:00:00","2012-05-14T00:00:00","","Benmara Station. 19.5km north north east of Benmar homestead. 1.5km South West of Coanjula creek. 248km North east of Barkley Roadhouse","R","1","NC","NC",4,"1L","DRY","FFR",1,2,1,706022.906,8037021.051,53,"WGS84","DGPS","P","3KACDBEMM",TRUE,TRUE,TRUE,-17.7444611111111,136.94305,"SW","NT",136.943049314344,-17.7444600975709
"114","NTAGFU0016-53663","NTAGFU0016","2012-05-16T12:00:00","Calvert Hills Station. 7.5 km west north west of Calvert Hills Homestead. 162 km south east of Borroloola","GFU","HIL","DDE","2","180","Site has been burnt within the last 2 years or so. Fire to within 30m whilst site being undertaken. Grazing impact is low. Some cattle tracks. Rain 1.5 months + previous. Homogeneity- the community continues 50m to the west but stops at eastern and northern","NC","NC",NA,53663,"2012-05-16T12:00:00","2012-05-16T12:00:00",NA,"Calvert Hills Station. 7.5 km west north west of Calvert Hills Homestead. 162 km south east of Borraloola","NC","NC","NC","A",5,"1L","DRY","FFR",1,2,1,740357,8094605,53,"WGS84","DGPS","P","3TEINYYDCBEKL",TRUE,TRUE,TRUE,-17.2208861111111,137.260258333333,"SW","NT",137.260254914772,-17.2208868145601
"115","NTAGFU0017-53664","NTAGFU0017","2012-05-17T00:00:00","Calvert Hills Station. 10 km west north west of Calvert hills homestead. 167 km south east of Borroloola","GFU","HIL","GUL",NA,NA,"Site in shallow valley that slopes up at the South West and North East corners. 100m from little Calvert river which is still flowing.  Grazing impact low with some cattle prints and some digging most likely from pigs.  Long unburnt but Melaleuca viridiflora in southern section is much shorter possibly as a result of previous fire. Homogeneity- The site is more or less discrete with the edge of site being the edge of the community though does extend 20m the south east and the same to the north west.  No recent rain but still damp particularly in the North western corner. South west corner is a little bit drier. Minimal impact of introduced plant species- Hyptis suaveolens present.
","NC","NC",NA,53664,"2012-05-17T00:00:00","2012-05-17T00:00:00",NA,"Calvert Hills Station. 10 km west north west of Calvert hills homestead. 167 km south east of Borraloola","NC","NC","NC","A",7,"1L","DRY","FFR",1,2,1,729308,8079895,53,"WGS84","DGPS","P","3RUCYCZARAEKU",TRUE,TRUE,TRUE,-17.3548972222222,137.157961111111,"SW","NT",137.157956198829,-17.3548994517631
"116","NTAGFU0018-53665","NTAGFU0018","2012-05-18T00:00:00","Calvert Hills Station. 23 km South west of Calvert hills homestead. 161 km south east of Borroloola","GFU","HIL","HSL",NA,NA,"Rocky site on side slope of low hill. Termite mounds and standing litter.  Fire 2+ years. Grazing pressure low- no cattle tracks seen. North East corner of the site abuts main Calvert hills road. Old cut line/track through northern boundary of the site which has reclaimed by Acacia shirleyi. Weed impact nil. 2+ months since previous rain. Homogeneity- South eastern boundary borders on a more dense Acacia shirleyi thicket with Triodia pungens dominating the hill crest above this.   Community continues 100m to the west, 20m on other side of road to the north and 50m to east.","NC","NC",NA,53665,"2012-05-18T00:00:00","2012-05-18T00:00:00","","Calvert Hills Station. 23 km South west of Calvert hills homestead. 161 km south east of Borraloola","R","1","NC","NC",6,"1L","DRY","DRY",1,2,1,732118,8088987,53,"WGS84","DGPS","P","3TECYCZAIAIKLU",TRUE,TRUE,TRUE,-17.2724861111111,137.183413888889,"SW","NT",137.183416104992,-17.2724874094248
"117","NTAGFU0019-53666","NTAGFU0019","2012-05-18T00:00:00","Calvert Hills Station. 16 km West South West of Calvert hills homestead.  160 km south east of Borroloola","GFU","HIL","PLA",NA,NA,"Flat, gravelly site at the base of a low range of hills.  Some small undulations and occasional larger stones. Homogeneity- the site extends  50m to south ( over road) and the same to the East. To the western edge is borrow pit for road. North of the site grades into a Terminalia sp. shrubland. Termites minimal. The site appears to have been burnt approximately 2 years previous- no fruit under Eucalyptus  and Corymbia would seem to indicate this. Grazing impact low- some pats but no pads. Minimal impact of introduced plant species.","NC","NC",NA,53666,"2012-05-18T00:00:00","2012-05-18T00:00:00","","Calvert Hills Station. 16 km West South West of Calvert hills homestead.  160 km south east of Borraloola","NC","0","Z","NC",4,"0","DRY","DRY",1,2,1,737812,8094983,53,"WGS84","DGPS","P","3TECYDUARAHKLV",TRUE,TRUE,TRUE,-17.2177416666667,137.236291666667,"SW","NT",137.236294682783,-17.2177397481662
"118","NTAGFU0020-53667","NTAGFU0020","2012-06-05T00:00:00","Macarthur River Station. 14km South East of Macarthur River Homestead 5km West of Kilgour river. 80km South West of Borroloola","GFU","LOW","DDE","4","135","Swamp on the edge of unnamed tributary of the Kilgour river. Weed impact low- some Stylosanthes hamata.  Grazing impact low. Some pads in the site. Long unburnt- no standing litter and no scorch marks on trees. Slight slope to the south east towards a small river 200m away. Homogeneity- Community continues 20m to the west. The south west corner borders a track and the community continues another 50m on the other side.  On eastern  and northern boundaries the community begins to grade into a Eucalyptus  pruinosa Mallee woodland","NC","NC",NA,53667,"2012-06-05T00:00:00","2012-06-05T00:00:00","","Macarthur River Station. 14km South East of Macarthur River Homestead 5km West of Kilgour river. 80km South West of Borraloola","NC","X","Z","NC",4,"1L","DRY","DRY",1,2,1,602695,8150632,53,"WGS84","DGPS","P","3KAAAYYCDAFKMU",TRUE,TRUE,TRUE,-16.724875,135.96335,"SW","NT",135.963353783135,-16.7248731014566
"119","NTAGFU0021-53668","NTAGFU0021","2012-06-06T00:00:00","Macarthur River Station. 14.5km South East of Macarthur river homestead 5km West of Kilgour river.  80km South West of Borroloola","GFU","LOW","GUL",NA,NA,"Rocky site between two ranges. The main Abner range to the south and an unnamed range to the north.  Site slopes down to shallow creek on southern edge continues up the other side. A shallow drainage line runs more or less due east to west. Grazing impact low with one or two pads within site. Long unburnt- no scorch marks on Melaleuca stenostachya  and tussock grasses dense. A Recent  Fire on other side of track hasn’t crossed into the site. A drainage line runs through southern edge more or less west to east. Site continues up the slope on other side. Homogeneity- the community is more or less contained within the site. At the North East corner is a track. To the south the community grades into a Eucalyptus  leucophloia and  Triodia bitextura open Mallee woodland. Introduced plant species impact minimal- Stylosanthes hamata low cover.
","NC","NC",NA,53668,"2012-06-06T00:00:00","2012-06-06T00:00:00","","Macarthur River Station. 14.5km South East of Macarthur river homestead 5km West of Kilgour river.  80km South West of Borraloola","G","1","NC","T",5,"1L","DRY","FFR",1,2,1,600522,8151690,53,"WGS84","DGPS","P","3KAABYYCDAHKOU",TRUE,TRUE,TRUE,-16.7154027777778,135.942922222222,"SW","NT",135.942924497193,-16.7154043377943
"120","NTAGFU0022-53669","NTAGFU0022","2012-06-07T00:00:00","Macarthur River Station. 14 km South East of Macarthur River Homestead 5km West of Kilgour River. 80km South West of Borroloola","GFU","LOW","HSL",NA,NA,"Rocky site on a low rise. Site is almost convex with the high point where photo point is and sloping down on all 4 sides.  Homogeneity- community extends 50m to the West, 20m to the South.  To the east is a Eucalyptus Pruinosa sparse Mallee woodland. To the north the site borders a diversion track which bisects the line between the Eucalyptus leucophloia and Eucalyptus pruinosa communities. Weeds- Nil. Grazing impact low. 2+ years since last fire with no standing litter and scorch marks on Eucalyptus leucophloia . Somewhat  difficult to tell however with the absence of a  shrub layer but some recruitment in Eucalyptus leucophloia.","NC","NC",NA,53669,"2012-06-07T00:00:00","2012-06-07T00:00:00","","Macarthur River Station. 14 km South East of Macarthur River Homestead 5km West of Kilgour River. 80km South West of Borraloola","NC","0","Z","A",5,"0","DRY","DRY",1,2,1,602697,8149952,53,"WGS84","DGPS","P","3KAAAYYCDAJKMU",TRUE,TRUE,TRUE,-16.7310138888889,135.963408333333,"SW","NT",135.963403414368,-16.7310191962077
"121","NTAGFU0023-53670","NTAGFU0023","2012-06-09T00:00:00","MacArthur River Station. 18.km South South West of Macarthur River Homestead. Top of Abner Range. 95km South West of Borroloola","GFU","PLT","PLA",NA,NA,"Sandplain on the top of the Abner range. Access via  newly upgraded mining exploration track. Homogeneity- site extends 50m to the west, east and north. To the south the site borders a track with the community continuing another 50m across the track. Community likely extends beyond this but the thickness of the vegetation dictates a more conservative figure. Weeds impact nil. Grazing impact nil. Some pig tracks close to quadrat.  No evidence of fire within 3+ years. Scorch marks on Eucalyptus setosa but difficult to tell how old.","NC","NC",NA,53670,"2012-06-09T00:00:00","2012-06-09T00:00:00","","Macarthur River Station. 18.km South South West of Macarthur River Homestead. Top of Abner Range. 95km South West of Borraloola","NC","X","Z","NC",4,"0","DRY","FFR",1,2,1,588437,8139741,53,"WGS84","DGPS","P","3TECYDUARAGKLV",TRUE,TRUE,TRUE,-16.8238944444444,135.830038888889,"SW","NT",135.830041532311,-16.8238949461309
"122","NTAGFU0024-53671","NTAGFU0024","2012-06-10T00:00:00","Macarthur River Station. 18.km South South West of Macarthur River Homestead. Top of Abner Range. 95km South West of Borroloola","GFU","PLT","PLA",NA,NA,"Stony site with extensive low sandstone outcrops on to top of the Abner range. Access via newly upgraded mining exploration track. Weed impact- none. Grazing impact none. Long unburnt- no scorch marks on trees. Homogeneity- The northern edge grades into more open Triodia bitextura hummock grassland.  60m further north from the site is more dense stand of Grevillea pteridifolia as occurs at the previous site ( NTAGFU0023). To the south the community continues another 100m and another 50m to the East and West.","NC","NC",NA,53671,"2012-06-10T00:00:00","2012-06-10T00:00:00","","Macarthur River Station. 18.km South South West of Macarthur River Homestead. Top of Abner Range. 95km South West of Borraloola","NC","X","Z","NC",5,"0","DRY","FFR",1,2,1,595167,8139479,53,"WGS84","DGPS","P","3TECYCZARAGKKU",TRUE,TRUE,TRUE,-16.8260027777778,135.893211111111,"SW","NT",135.89321288854,-16.8259982767197
"123","NTAGFU0025-53672","NTAGFU0025","2012-06-10T00:00:00","Macarthur River Station. 18.km South of Macarthur River Homestead. Top of Abner Range. 95km South West of Borroloola","GFU","PLT","DDE",NA,NA,"Melaleuca stenostachya swamp on the top of the Abner range. Access via new upgraded mining exploration track. Grazing impact- nil. Long unburnt. No evidence of scorch marks or standing litter to indicate recent fire. Homogeneity- Community extends 70m to the west, South and East. The northern boundary is set back 20m from the access track with the community continuing over the other side of the track another 50m","NC","NC",NA,53672,"2012-06-10T00:00:00","2012-06-10T00:00:00","","Macarthur River Station. 18.km South of Macarthur River Homestead. Top of Abner Range. 95km South West of Borraloola","NC","X","Z","A",4,"0","DRY","DRY",1,2,1,591115,8139580,53,"WGS84","DGPS","P","3DEAAYYCDAEKO",TRUE,TRUE,TRUE,-16.8252416666667,135.855180555556,"SW","NT",135.855180912461,-16.8252471377153
"124","NTAGFU0026-53673","NTAGFU0026","2012-06-12T00:00:00","Limmen national park. 25km South South West of Ranger Station. Western Edge of Eastern creek, North of Dulurru waterhole. 100km west north west of Borroloola","GFU","FLO","FLD",NA,NA,"Flat site the edge of the Eastern creek. Some  evidence of grazing though likely more heavily  in the past. River in south east has cattle pads. Long unburnt- no scorch marks but recent fire on other side of the river.  Homogeneity- community continues 20m to the south and 30m to the north. To the west the community grades into a more open Grevillea striata shrubland and to east, beyond the site, it drops quickly into the main channel of the river. Minimal impact of introduced plant species - Passiflora foetida present.
","NC","NC",NA,53673,"2012-06-12T00:00:00","2012-06-12T00:00:00","","Limmen national park. 25km South South West of Ranger Station. Western Edge of Eastern creek, North of Dulurru waterhole. 100km west north west of Borraloola","R","1","NC","A",4,"1L","DRY","DRY",1,2,1,543487,8252136,53,"WGS84","DGPS","P","3TEABYYCDAEKO",TRUE,TRUE,TRUE,-15.8091222222222,135.406069444444,"SW","NT",135.406066403232,-15.8091248487818
"125","NTAGFU0027-53674","NTAGFU0027","2012-06-13T00:00:00","Limmen National Park. 12km South South East of Ranger Station. 99km north west of Borroloola","GFU","PLA","PLA","3","225","Site is at base south west facing range. Creek running south east to south west just beyond the southern boundary of the site. Drainage line off road runs just through the northern edge of site. Grazing impact low though dead cow within the site. Fire- scorch marks on trees from 2-3 years previous. Dead Acacia hammondii in South West corner where fire has come in. Homogeneity Community continues  50m to west, 30m to the South and 20m North. To the East borders the road. Low impact of introduced plant species- Stylosanthes hamata low cover.
","NC","NC",NA,53674,"2012-06-13T00:00:00","2012-06-13T00:00:00","","Limmen National Park. 12km South South East of Ranger Station. 99km north west of Borraloola","NC","NC","Z","J",5,"1L","DRY","FFR",1,2,1,549360,8266487,53,"WGS84","DGPS","P","3RUAOZZAREKV",TRUE,TRUE,TRUE,-15.679275,135.460613888889,"SW","NT",135.460612909166,-15.6792776139058
"126","NTAGFU0028-53675","NTAGFU0028","2012-06-14T00:00:00","Limmen National Park. 6km South East of Ranger Station. 700m West of Butterfly Spring. 102km north west of Borroloola","GFU","HIL","HSL","6","225","Rocky site sloping down from the north east corner. Increasingly rocky up the slope with a range of low hills along the eastern boundary. The north west corner is close to the track leading to Butterfly spring. Homogeneity- The community only extends to the west by another 20m (up to the track) To east the community is grading into a  eucalyptus miniata/leucophloia  woodland and to the South a Eucalyptus phoenicea sparse woodland. Grazing impact- low. No evidence of cattle. Burnt 1-2 years. Scorch marks on trees. Weed impact low- some Stylosanthes hamata present as trace cover","NC","NC",NA,53675,"2012-06-14T00:00:00","2012-06-14T00:00:00","","Limmen National Park. 6km South East of Ranger Station. 700m West of Butterfly Spring. 102km north west of Borraloola","R","1","NC","A",5,"1L","DRY","DRY",1,2,1,549280,8272022,53,"WGS84","DGPS","P",NA,TRUE,TRUE,TRUE,-15.6292388888889,135.459755555556,"SW","NT",135.459754555965,-15.6292405310998
"127","NTAGFU0029-53676","NTAGFU0029","2012-06-15T00:00:00","Limmen National Park 6km North West of Ranger Station. Edge of Catfish waterhole. 112km north west of Borroloola","GFU","FLO","FAN",NA,NA,"Edge of catfish waterhole. North east corner is on the edge of waterhole. Site sloping to the north east down to the waterhole with the south west corner being close to the road. Weed impact moderate- Stylosanthes hamata common within the site. Grazing impact- moderate some cattle/buffalo grazing and pigs digging on edge of waterhole. Homogeneity- community continues another 50m to the north west and to the south east. Fire- 2+ years. Recent fire close to quadrat stopped by shallow drainage line which runs west to east just to the north of the site.","NC","NC",NA,53676,"2012-06-15T00:00:00","2012-06-15T00:00:00","","Limmen National Park 6km North West of Ranger Station. Edge of Catfish waterhole. 112km north west of Borraloola","R","1","NC","A",4,"1L","DRY","DRY",1,2,1,543861,8282114,53,"WGS84","DGPS","P","3TEABYYCDAGKNU",TRUE,TRUE,TRUE,-15.5381,135.409022222222,"SW","NT",135.409018766644,-15.5381036300071
"128","NTAGFU0030-53677","NTAGFU0030","2012-07-05T00:00:00","Wongalara Reserve. 10km West North West of Wongalara Homestead. 166 km north east of Mataranka","GFU","LOW","PLA","2","45","Flat site on the crest of a hill. Long unburnt-  Not recent scaring on trees. Grazing impact-low. Some cattle droppings in the site and some of the grasses have been grazed. Digging possibly from pigs getting to roots of the Haemodorum. Homogeneity- The community continues 60m to the west and to the south. To the east is borrow pit and to the north is fence line and track with the community going another 50m beyond that.  Weed impact low- some Stylosanthes scabra","NC","NC",NA,53677,"2012-07-05T00:00:00","2012-07-05T00:00:00","","Wongalara Reserve. 10km West North West of Wongalara Homestead. 166 km north east of Mattaranka","NC","NC","NC","A",4,"0","DRY","DRY",1,2,1,432850,8437266,53,"WGS84","DGPS","P","3KAAAYYCDAIKOV",TRUE,TRUE,TRUE,-14.1348972222222,134.377833333333,"SW","NT",134.377833856566,-14.1348937018619
"129","NTAGFU0031-53678","NTAGFU0031","2012-07-06T00:00:00","Wongalara reserve. 9.5km West North West of Wongalara Homestead. 166 km north east of Mataranka","GFU","PLA","DDE",NA,NA,"Flat site sloping slightly to the north east. A shallow drainage line runs just to the north of site. Long unburnt- no scaring on Melaleuca viridiflora. Grazing impact low- some cattle scats. Also Pigs digging in the wet. Homogeneity- community continues 100m to the south. To the north the community grades into an Acacia shirleyi woodland in a rocky gully. To the West is a road but community continues 20m on other side of the road. To the East is more Acacia shirleyi mixed with  Melaleuca viridiflora","NC","NC",NA,53678,"2012-07-06T00:00:00","2012-07-06T00:00:00","","Wongalara reserve. 9.5km West North West of Wongalara Homestead. 166 km north east of Mattaranka","NC","NC","NC","A",3,"0","DRY","FFR",1,2,1,433802,8438268,53,"WGS84","DGPS","P","3KAAAYYCDAHKMV",TRUE,TRUE,TRUE,-14.1258555555556,134.386677777778,"SW","NT",134.386678339502,-14.1258569046505
"130","NTAGFU0032-53679","NTAGFU0032","2012-07-07T00:00:00","Wongalara reserve. 10km West of Wongalara homestead. 165 km north east of Mataranka","GFU","PLA","GUL",NA,NA,"Convex sloping site in a valley between low hills. Long unburnt. Homogeneity- community continues 50m to the  north and west (on other side of track). It continues 20m up the slope to the south. Grazing impact- low. Some cattle pads, horse scats.","NC","NC","100 x 100 m.",53679,"2012-07-07T00:00:00","2012-07-07T00:00:00","","Wongalara reserve. 10km West of Wongalara homestead. 165 km north east of Mattaranka","S","1","S","A",3,"1L","DRY","DRY",1,2,1,432398,8435525,53,"WGS84","DGPS","P","3DEABYYCDAEKO",TRUE,TRUE,TRUE,-14.150625,134.373602777778,"SW","NT",134.373603019654,-14.1506238128089
"131","NTAGFU0033-53680","NTAGFU0033","2012-07-08T00:00:00","Wongalara reserve. 13.5km South West of Wongalara Homestead. 165 km north east of Mataranka","GFU","HIL","HCR",NA,NA,"Rocky, convex sloping site sloping predominantly to the North East but also to the south west. Fire- long unburnt. Previous fire hot- lots of fallen debris all through site. Homogeneity- South west of the site grades into a more open Eucalyptus leucophloia Mallee woodland. To the West and east the community continues another 50m. The northern boundary borders  the road where the community stops.  Grazing impact- low. Some Horse droppings and the odd cattle pat.","NC","NC",NA,53680,"2012-07-08T00:00:00","2012-07-08T00:00:00","","Wongalara reserve. 13.5km South West of Wongalara Homestead. 165 km north east of Mattaranka","NC","NC","Z","A",5,"1L","DRY","DRY",1,2,1,430450,8432606,53,"WGS84","DGPS","P","3KAAAYYALAHKOV",TRUE,TRUE,TRUE,-14.1769611111111,134.355480555556,"SW","NT",134.355479292956,-14.1769676115046
